 initial_energy   final_energy         photon         gluons          higgs            Wpm             Z0       electron           muon            tau             up           down          charm        strange            top         bottom
    2.50000e+01    5.99484e-03    0.00000e+00    4.20000e-03    6.69000e-03    0.00000e+00    0.00000e+00    1.08550e-02    5.85000e-03    3.54500e-03    3.06500e-03    3.16500e-03    3.13000e-03    2.90000e-03    0.00000e+00    3.11500e-03
    2.50000e+01    7.74264e-03    0.00000e+00    8.20000e-03    1.20600e-02    0.00000e+00    0.00000e+00    1.17450e-02    5.66500e-03    4.01500e-03    6.16500e-03    5.89000e-03    6.15000e-03    5.50500e-03    0.00000e+00    6.72000e-03
    2.50000e+01    1.00000e-02    0.00000e+00    1.51450e-02    2.48100e-02    0.00000e+00    0.00000e+00    1.18600e-02    6.06000e-03    4.36000e-03    1.07050e-02    1.04300e-02    1.22000e-02    1.02150e-02    0.00000e+00    1.32250e-02
    2.50000e+01    1.29155e-02    0.00000e+00    2.74800e-02    5.40400e-02    0.00000e+00    0.00000e+00    1.17150e-02    5.81500e-03    5.30500e-03    1.81600e-02    1.79900e-02    2.30550e-02    1.76750e-02    0.00000e+00    2.97150e-02
    2.50000e+01    1.66810e-02    0.00000e+00    4.53350e-02    9.97200e-02    0.00000e+00    0.00000e+00    1.15950e-02    5.91000e-03    6.60500e-03    2.98700e-02    3.03000e-02    3.88500e-02    2.99800e-02    0.00000e+00    5.60900e-02
    2.50000e+01    2.15443e-02    0.00000e+00    7.31000e-02    1.60110e-01    0.00000e+00    0.00000e+00    1.20100e-02    5.88000e-03    8.03500e-03    4.70300e-02    4.85400e-02    6.27300e-02    4.57050e-02    0.00000e+00    9.16800e-02
    2.50000e+01    2.78256e-02    0.00000e+00    1.10360e-01    2.48580e-01    0.00000e+00    0.00000e+00    1.20650e-02    5.66500e-03    9.52500e-03    7.14050e-02    7.12000e-02    9.64350e-02    7.03350e-02    0.00000e+00    1.40155e-01
    2.50000e+01    3.59381e-02    0.00000e+00    1.61270e-01    3.60940e-01    0.00000e+00    0.00000e+00    1.18650e-02    5.67500e-03    1.10450e-02    1.03405e-01    1.01690e-01    1.42505e-01    1.02145e-01    0.00000e+00    2.04895e-01
    2.50000e+01    4.64159e-02    0.00000e+00    2.25050e-01    5.06360e-01    0.00000e+00    0.00000e+00    1.17550e-02    5.55000e-03    1.39600e-02    1.43325e-01    1.41630e-01    2.00815e-01    1.40340e-01    0.00000e+00    2.91475e-01
    2.50000e+01    5.99484e-02    0.00000e+00    3.03825e-01    6.82230e-01    0.00000e+00    0.00000e+00    1.22400e-02    5.80000e-03    1.73550e-02    1.89320e-01    1.89100e-01    2.83350e-01    1.89795e-01    0.00000e+00    3.91695e-01
    2.50000e+01    7.74264e-02    0.00000e+00    3.89770e-01    8.72800e-01    0.00000e+00    0.00000e+00    1.23000e-02    5.53500e-03    2.18900e-02    2.44205e-01    2.46040e-01    3.55725e-01    2.43360e-01    0.00000e+00    5.01850e-01
    2.50000e+01    1.00000e-01    0.00000e+00    4.80765e-01    1.04894e+00    0.00000e+00    0.00000e+00    1.19950e-02    5.95000e-03    2.70100e-02    3.02355e-01    3.03575e-01    4.20890e-01    3.00520e-01    0.00000e+00    6.00710e-01
    2.50000e+01    1.29155e-01    0.00000e+00    5.65200e-01    1.20980e+00    0.00000e+00    0.00000e+00    1.20500e-02    5.88500e-03    3.29450e-02    3.61535e-01    3.62845e-01    4.91115e-01    3.56010e-01    0.00000e+00    6.90170e-01
    2.50000e+01    1.66810e-01    0.00000e+00    6.45575e-01    1.25156e+00    0.00000e+00    0.00000e+00    1.20350e-02    5.67000e-03    4.12750e-02    4.13970e-01    4.13990e-01    5.60465e-01    4.11680e-01    0.00000e+00    7.11520e-01
    2.50000e+01    2.15443e-01    0.00000e+00    7.02775e-01    1.24320e+00    0.00000e+00    0.00000e+00    1.18100e-02    5.51000e-03    4.86800e-02    4.57625e-01    4.60295e-01    6.13575e-01    4.51410e-01    0.00000e+00    6.97925e-01
    2.50000e+01    2.78256e-01    0.00000e+00    7.32670e-01    1.23720e+00    0.00000e+00    0.00000e+00    1.14850e-02    5.51000e-03    5.93400e-02    4.82800e-01    4.86720e-01    6.34940e-01    4.71620e-01    0.00000e+00    6.91360e-01
    2.50000e+01    3.59381e-01    0.00000e+00    7.20365e-01    1.16333e+00    0.00000e+00    0.00000e+00    1.15950e-02    5.57000e-03    6.80650e-02    4.87065e-01    4.84275e-01    6.18725e-01    4.71660e-01    0.00000e+00    6.44025e-01
    2.50000e+01    4.64159e-01    0.00000e+00    6.76365e-01    1.03200e+00    0.00000e+00    0.00000e+00    1.11050e-02    5.73500e-03    7.69350e-02    4.65635e-01    4.66145e-01    5.67820e-01    4.45460e-01    0.00000e+00    5.73135e-01
    2.50000e+01    5.99484e-01    0.00000e+00    5.91730e-01    8.80030e-01    0.00000e+00    0.00000e+00    1.14400e-02    5.25000e-03    8.64900e-02    4.24950e-01    4.21740e-01    4.85175e-01    3.99115e-01    0.00000e+00    4.78075e-01
    2.50000e+01    7.74264e-01    0.00000e+00    4.92050e-01    7.06430e-01    0.00000e+00    0.00000e+00    1.08950e-02    5.47000e-03    9.23550e-02    3.74055e-01    3.73645e-01    3.92305e-01    3.38940e-01    0.00000e+00    3.81795e-01
    2.50000e+01    1.00000e+00    0.00000e+00    3.84715e-01    5.33070e-01    0.00000e+00    0.00000e+00    1.05850e-02    5.30000e-03    9.71200e-02    3.13665e-01    3.16225e-01    3.04255e-01    2.77845e-01    0.00000e+00    2.87075e-01
    2.50000e+01    1.29155e+00    0.00000e+00    2.81705e-01    3.75810e-01    0.00000e+00    0.00000e+00    1.08850e-02    5.10500e-03    9.64750e-02    2.57580e-01    2.59075e-01    2.21575e-01    2.15245e-01    0.00000e+00    1.96070e-01
    2.50000e+01    1.66810e+00    0.00000e+00    1.90010e-01    2.45480e-01    0.00000e+00    0.00000e+00    1.02850e-02    4.79000e-03    9.17150e-02    2.03400e-01    2.03740e-01    1.54780e-01    1.58920e-01    0.00000e+00    1.22155e-01
    2.50000e+01    2.15443e+00    0.00000e+00    1.15250e-01    1.49940e-01    0.00000e+00    0.00000e+00    9.72500e-03    4.56000e-03    8.13250e-02    1.52060e-01    1.51440e-01    1.01855e-01    1.09220e-01    0.00000e+00    7.26300e-02
    2.50000e+01    2.78256e+00    0.00000e+00    6.07300e-02    8.61300e-02    0.00000e+00    0.00000e+00    9.03000e-03    4.38500e-03    6.51200e-02    1.06795e-01    1.08260e-01    6.22100e-02    6.85050e-02    0.00000e+00    3.74900e-02
    2.50000e+01    3.59381e+00    0.00000e+00    2.77950e-02    4.79200e-02    0.00000e+00    0.00000e+00    8.36000e-03    4.17500e-03    4.75050e-02    6.94400e-02    6.86850e-02    3.30400e-02    3.66450e-02    0.00000e+00    1.72050e-02
    2.50000e+01    4.64159e+00    0.00000e+00    1.00950e-02    2.37200e-02    0.00000e+00    0.00000e+00    7.57000e-03    3.54000e-03    3.11450e-02    4.11300e-02    4.01850e-02    1.52000e-02    1.69000e-02    0.00000e+00    6.90500e-03
    2.50000e+01    5.99484e+00    0.00000e+00    2.74000e-03    1.14700e-02    0.00000e+00    0.00000e+00    6.60500e-03    3.01500e-03    1.79500e-02    2.09750e-02    2.07650e-02    5.38500e-03    5.30500e-03    0.00000e+00    2.02500e-03
    2.50000e+01    7.74264e+00    0.00000e+00    3.45000e-04    4.37000e-03    0.00000e+00    0.00000e+00    5.43000e-03    2.54000e-03    6.02500e-03    7.69000e-03    7.48500e-03    1.38500e-03    1.18000e-03    0.00000e+00    3.25000e-04
    2.50000e+01    1.00000e+01    0.00000e+00    2.00000e-05    1.48000e-03    0.00000e+00    0.00000e+00    2.46000e-03    7.45000e-04    2.30000e-04    1.78000e-03    1.47500e-03    2.70000e-04    1.30000e-04    0.00000e+00    2.50000e-05
    2.50000e+01    1.29155e+01    0.00000e+00    0.00000e+00    5.00000e-05    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.50000e-05    2.00000e-05    2.00000e-05    5.00000e-06    0.00000e+00    0.00000e+00
    2.50000e+01    1.66810e+01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    2.50000e+01    2.15443e+01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    2.50000e+01    2.78256e+01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    2.50000e+01    3.59381e+01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    2.50000e+01    4.64159e+01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
